PROCESS	SENT_ID	SENTENCE	ARG_ID	START_IDX	END_IDX	SPAN	ROLE
condensation	312	condensation occurs when the air meets cold.	2	6	6	meets	A2
condensation	312	condensation occurs when the air meets cold.	5	7	7	cold	NONE
condensation	316	condensation occurs when the air and/or surfaces are cold and when the moisture content of the air is high.	2	1	1	condensation	NONE
condensation	316	condensation occurs when the air and/or surfaces are cold and when the moisture content of the air is high.	3	2	2	occurs	NONE
condensation	316	condensation occurs when the air and/or surfaces are cold and when the moisture content of the air is high.	1	10	19	and when the moisture content of the air is high	A1
condensation	317	many new installations get condensation across the bottom of the units and probably more so in the bedrooms , condensation is caused by the water in the.	0	24	25	the water	A1
condensation	322	this could be a good decision if the majority of the condensation is caused by the glass and not by the window frame.	0	16	23	the glass and not by the window frame	A1
condensation	333	condensation occurs due to constructive interference between all guided modes.	0	5	10	constructive interference between all guided modes	A1
condensation	356	condensation is caused by steam or water vapour when it comes into contact with cold surfaces (in the same way that steam in the bathroom condenses on the...	2	1	1	condensation	NONE
condensation	356	condensation is caused by steam or water vapour when it comes into contact with cold surfaces (in the same way that steam in the bathroom condenses on the...	5	3	3	caused	NONE
condensation	356	condensation is caused by steam or water vapour when it comes into contact with cold surfaces (in the same way that steam in the bathroom condenses on the...	1	5	8	steam or water vapour	A1
condensation	356	condensation is caused by steam or water vapour when it comes into contact with cold surfaces (in the same way that steam in the bathroom condenses on the...	3	11	11	comes	NONE
condensation	356	condensation is caused by steam or water vapour when it comes into contact with cold surfaces (in the same way that steam in the bathroom condenses on the...	0	13	23	contact with cold surfaces ( in the same way that steam	A1
condensation	356	condensation is caused by steam or water vapour when it comes into contact with cold surfaces (in the same way that steam in the bathroom condenses on the...	6	25	29	the bathroom condenses on the	NONE
condensation	403	condensation occurs when the air becomes saturated with water vapour to the point where it cannot hold any further moisture, i	0	7	21	saturated with water vapour to the point where it can not hold any further moisture	A1
condensation	421	condensation is the process by which water vapor turns into liquid water.	1	7	8	water vapor	A0
condensation	421	condensation is the process by which water vapor turns into liquid water.	2	9	9	turns	A2
condensation	421	condensation is the process by which water vapor turns into liquid water.	0	11	12	liquid water	A3
condensation	423	condensation occurs when evaporator coils draw water from...	2	1	1	condensation	NONE
condensation	423	condensation occurs when evaporator coils draw water from...	3	2	2	occurs	NONE
condensation	423	condensation occurs when evaporator coils draw water from...	4	4	5	evaporator coils	NONE
condensation	423	condensation occurs when evaporator coils draw water from...	5	6	6	draw	NONE
condensation	423	condensation occurs when evaporator coils draw water from...	1	7	8	water from	NONE
condensation	447	condensation occurs when moist air hits a cold surface.	0	7	9	a cold surface	A1
condensation	455	condensation is caused by cold water entering your toilet tank causing a drop in temperature on the outside surface of the tank.	2	1	1	condensation	NONE
condensation	455	condensation is caused by cold water entering your toilet tank causing a drop in temperature on the outside surface of the tank.	6	3	3	caused	NONE
condensation	455	condensation is caused by cold water entering your toilet tank causing a drop in temperature on the outside surface of the tank.	8	7	7	entering	NONE
condensation	455	condensation is caused by cold water entering your toilet tank causing a drop in temperature on the outside surface of the tank.	4	11	11	causing	NONE
condensation	455	condensation is caused by cold water entering your toilet tank causing a drop in temperature on the outside surface of the tank.	1	12	15	a drop in temperature	A1
condensation	455	condensation is caused by cold water entering your toilet tank causing a drop in temperature on the outside surface of the tank.	5	16	22	on the outside surface of the tank	NONE
condensation	477	this condensation helps to rust the heat exchanger out much faster than normal.	0	3	14	helps to rust the heat exchanger out much faster than normal .	A3
condensation	498	most often, window condensation is caused by excessively moist conditions in the home.	0	9	14	excessively moist conditions in the home	A1
condensation	508	condensation occurs due to liquid subcooling, both simulations somewhat over-predict the vapor volume fraction.	0	5	6	liquid subcooling	A1
condensation	534	condensation occurs due to appearance of a normal mode, precisely analogous to the cooperon in a superconductor	0	5	9	appearance of a normal mode	A1
conduction	6	conduction is the transfer of energy in the form of heat or electricity from one atom to another within an object by direct contact.	0	4	4	transfer	A2
conduction	76	conduction is the process of transferring heat by touch -- and it's by far the most direct way to transfer heat.	1	6	6	transferring	A2
conduction	76	conduction is the process of transferring heat by touch -- and it's by far the most direct way to transfer heat.	0	7	7	heat	A0
conduction	177	conduction is the transfer of heat between substances that are in direct contact with each other.	0	4	4	transfer	A2
conduction	197	osteoconduction is the process by which capillary ingrowth into the graft occurs from the recipient bed.	0	7	11	capillary ingrowth into the graft	A0
conduction	235	conduction is the process of losing heat through physical contact...	1	6	6	losing	A2
conduction	235	conduction is the process of losing heat through physical contact...	0	7	7	heat	A0
conduction	329	conduction is the movement of heat or electricity through a material without any perceptible motion of the material.	0	4	4	movement	A2
conduction	429	conduction is the process by which heat moves directly into the molecules of cooler objects in contact with its surface.	0	7	7	heat	A0
conduction	429	conduction is the process by which heat moves directly into the molecules of cooler objects in contact with its surface.	1	8	8	moves	A2
conduction	516	nerve conduction is the process of transmitting signals, allowing...	0	8	8	signals	A0
conservation	107	energy conservation is the process of reducing your overall energy usage.	2	1	2	energy conservation	NONE
conservation	107	energy conservation is the process of reducing your overall energy usage.	1	7	7	reducing	A2
conservation	107	energy conservation is the process of reducing your overall energy usage.	0	8	11	your overall energy usage	A1
conservation	205	conservation is the process of maintaining and managing change to a heritage asset in a way that sustains and where appropriate enhances its significance.	0	6	6	maintaining	A2
conservation	239	land conservation is the process of protecting natural land and returning developed land to its natural state.	0	7	7	protecting	A2
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	0	6	6	stabilizing	A2
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	5	11	11	it	NONE
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	6	12	12	will	NONE
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	2	13	13	remain	NONE
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	3	14	14	visually	NONE
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	7	22	22	maintain	NONE
conservation	324	conservation is the process of stabilizing an artifact so that it will remain visually and mechanically intact, in order to maintain historical and cultural value.	8	23	26	historical and cultural value	NONE
conservation	359	conservation is the process of reducing demand on a limited supply and enabling that supply to begin to rebuild itself.	0	6	6	reducing	A2
convection	102	convection is the transfer of internal energy into or out of an object by the physical movement of a surrounding fluid that transfers the internal energy along with...	0	4	4	transfer	A2
convection	400	convection is the process of moving air over a warm object, where it picks up some of the heat.	0	6	6	moving	A2
convection	506	convection is the process of losing heat through the movement of air or water molecules across the skin.	0	6	6	losing	A2
crop_rotation	134	crop rotation helps to eradicate weeds, insects and plant diseases.	3	1	2	crop rotation	NONE
crop_rotation	134	crop rotation helps to eradicate weeds, insects and plant diseases.	4	3	3	helps	NONE
crop_rotation	134	crop rotation helps to eradicate weeds, insects and plant diseases.	5	5	5	eradicate	NONE
crop_rotation	134	crop rotation helps to eradicate weeds, insects and plant diseases.	1	6	11	weeds , insects and plant diseases	NONE
crop_rotation	150	crop rotation helps to replenish the soil with vital nutrients.	3	1	2	crop rotation	NONE
crop_rotation	150	crop rotation helps to replenish the soil with vital nutrients.	4	3	3	helps	NONE
crop_rotation	150	crop rotation helps to replenish the soil with vital nutrients.	5	5	5	replenish	NONE
crop_rotation	150	crop rotation helps to replenish the soil with vital nutrients.	2	6	7	the soil	A0
crop_rotation	150	crop rotation helps to replenish the soil with vital nutrients.	6	8	10	with vital nutrients	NONE
crop_rotation	163	crop rotation is the process of planting different crops on the same land in sequential seasons.	0	7	7	planting	A2
crop_rotation	182	crop rotation is the process of planting different crops on the same patch of ground during different seasons.	0	7	7	planting	A2
crop_rotation	220	the purpose of crop rotation is to prevent the build up of soil-borne pests and...	0	8	16	prevent the build up of soil-borne pests and ...	A3
crop_rotation	257	crop rotation is the process of alternating the.	0	7	7	alternating	A2
crop_rotation	262	crop rotation helps to reduce soil diseases and fungi by giving them time to die out before replanting a similar crop in the bed.	0	5	24	reduce soil diseases and fungi by giving them time to die out before replanting a similar crop in the bed	A3
crop_rotation	346	the purpose of crop rotation is to help the soil maintain a healthy...	0	8	13	help the soil maintain a healthy	A3
crop_rotation	384	crop rotation helps to create a biodiverse soil which reduces the chance of soil-borne organisms to reach damaging levels and therefore reducing the use of...	0	5	25	create a biodiverse soil which reduces the chance of soil-borne organisms to reach damaging levels and therefore reducing the use of	A3
crop_rotation	411	the purpose of crop rotation is to achieve equilibrium below the economic...	0	8	12	achieve equilibrium below the economic	A3
crop_rotation	424	besides the mentioned potential benefits, crop rotation helps to protect soil from eroding and makes it possible to use the land in another period during the year.	0	11	28	protect soil from eroding and makes it possible to use the land in another period during the year	A3
crop_rotation	456	crop rotation helps to overcome the problem of mono cropping without the use of any chemicals.	0	5	16	overcome the problem of mono cropping without the use of any chemicals	A3
crop_rotation	458	the purpose of crop rotation is to help maintain the balance of nutrients, organic matter, and microorganisms necessary for healthy soil.	2	8	8	help	NONE
crop_rotation	458	the purpose of crop rotation is to help maintain the balance of nutrients, organic matter, and microorganisms necessary for healthy soil.	3	9	9	maintain	NONE
crop_rotation	458	the purpose of crop rotation is to help maintain the balance of nutrients, organic matter, and microorganisms necessary for healthy soil.	4	10	23	the balance of nutrients , organic matter , and microorganisms necessary for healthy soil	NONE
crop_rotation	470	crop rotation helps to address all these issues, and improve the soil.	0	1	2	crop rotation	A2
crop_rotation	470	crop rotation helps to address all these issues, and improve the soil.	3	3	3	helps	NONE
crop_rotation	470	crop rotation helps to address all these issues, and improve the soil.	5	5	5	address	NONE
crop_rotation	470	crop rotation helps to address all these issues, and improve the soil.	6	6	8	all these issues	NONE
crop_rotation	470	crop rotation helps to address all these issues, and improve the soil.	2	11	11	improve	NONE
crop_rotation	470	crop rotation helps to address all these issues, and improve the soil.	4	12	13	the soil	NONE
crop_rotation	483	the high proportion of maize in the crop rotation causes pest risk to be solved with the european corn borer and with.	5	1	9	the high proportion of maize in the crop rotation	NONE
crop_rotation	483	the high proportion of maize in the crop rotation causes pest risk to be solved with the european corn borer and with.	2	10	10	causes	NONE
crop_rotation	483	the high proportion of maize in the crop rotation causes pest risk to be solved with the european corn borer and with.	4	11	12	pest risk	NONE
crop_rotation	483	the high proportion of maize in the crop rotation causes pest risk to be solved with the european corn borer and with.	0	15	15	solved	NONE
crop_rotation	483	the high proportion of maize in the crop rotation causes pest risk to be solved with the european corn borer and with.	1	17	22	the european corn borer and with	NONE
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	1	1	2	crop rotation	A2
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	8	3	3	helps	NONE
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	2	5	5	cures	A2
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	10	6	7	soil sickness	NONE
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	9	10	12	the subsequent crop	NONE
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	7	14	14	not	NONE
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	6	15	15	affected	NONE
crop_rotation	496	crop rotation helps to cures soil sickness only when the subsequent crop is not affected by the accumulated allelochemicals of the previous crop or when they...	5	18	18	accumulated	NONE
crop_rotation	527	these experiments suggest that crop rotation causes large changes in...	2	1	2	these experiments	NONE
crop_rotation	527	these experiments suggest that crop rotation causes large changes in...	3	3	3	suggest	NONE
crop_rotation	527	these experiments suggest that crop rotation causes large changes in...	4	5	6	crop rotation	NONE
crop_rotation	527	these experiments suggest that crop rotation causes large changes in...	5	7	7	causes	NONE
crop_rotation	527	these experiments suggest that crop rotation causes large changes in...	0	8	10	large changes in	A3
cross-pollination	358	cross-pollination is the transfer of pollen from one plant to the...	0	4	4	transfer	A2
cross-pollination	488	cross-pollination is the transfer of pollen between plants.	0	4	4	transfer	A2
crossbreeding	103	crossbreeding is the process of transferring pollen from one cultivar of a plant to another female part of another plant of the same species to get a new offspring.	0	6	6	transferring	A2
crossbreeding	103	crossbreeding is the process of transferring pollen from one cultivar of a plant to another female part of another plant of the same species to get a new offspring.	1	9	20	one cultivar of a plant to another female part of another plant	NONE
crossbreeding	184	crossbreeding is the recommended breeding strategy for commercial meat sheep and meat goat production.	0	3	14	the recommended breeding strategy for commercial meat sheep and meat goat production	NONE
crossbreeding	184	crossbreeding is the recommended breeding strategy for commercial meat sheep and meat goat production.	1	4	4	recommended	NONE
crossbreeding	409	crossbreeding is the process of producing offspring from parents who originate from different species, varieties, or regional...	0	6	6	producing	A2
decomposition	13	drifting fermentation: controlled decomposition causes zombies to bloat.	0	7	9	zombies to bloat	A3
decomposition	51	in general, thermal decomposition causes endothermic peaks and oxidative decomposition...	2	1	2	in general	NONE
decomposition	51	in general, thermal decomposition causes endothermic peaks and oxidative decomposition...	3	4	5	thermal decomposition	NONE
decomposition	51	in general, thermal decomposition causes endothermic peaks and oxidative decomposition...	4	6	6	causes	NONE
decomposition	51	in general, thermal decomposition causes endothermic peaks and oxidative decomposition...	0	7	11	endothermic peaks and oxidative decomposition	A3
decomposition	65	aerobic decomposition is the process of breaking down organic matter in the presence of oxygen.	1	9	10	organic matter	A0
decomposition	65	aerobic decomposition is the process of breaking down organic matter in the presence of oxygen.	0	11	15	in the presence of oxygen	A1
decomposition	78	in the minerotrophic peat, decomposition causes strong decay of both polysaccharides and lignins.	0	8	15	strong decay of both polysaccharides and lignins .	A3
decomposition	161	this decomposition causes a faster decay of.	0	4	8	a faster decay of .	A3
decomposition	213	reduced indole-3-acetic add decomposition causes enhanced growth of plums.	0	6	9	enhanced growth of plums	A3
decomposition	243	described how a lack of decomposition causes rotting of dead organisms.	0	8	11	rotting of dead organisms	A3
decomposition	313	decomposition is the process of dividing the work in smaller parts, where all or some of them could be executed in parallel.	0	6	6	dividing	A2
decomposition	450	forensic pathologists have long recognised that the process of decomposition causes gas formation.	0	12	13	gas formation	A3
decomposition	471	decomposition is the process by which organic substances are broken down into a much simpler form of matter.	1	10	10	broken	A2
decomposition	471	decomposition is the process by which organic substances are broken down into a much simpler form of matter.	0	13	18	a much simpler form of matter	A3
decomposition	479	decomposition is the process by which a material is broken down into simpler parts.	2	7	8	a material	NONE
decomposition	479	decomposition is the process by which a material is broken down into simpler parts.	1	10	10	broken	A2
decomposition	479	decomposition is the process by which a material is broken down into simpler parts.	0	13	14	simpler parts	A3
diffusion	486	diffusion is the process of transferring matter from an area of high concentration to an area of low concentration under the influence of thermal energy.	0	6	6	transferring	A2
diffusion	486	diffusion is the process of transferring matter from an area of high concentration to an area of low concentration under the influence of thermal energy.	2	8	13	from an area of high concentration	NONE
diffusion	486	diffusion is the process of transferring matter from an area of high concentration to an area of low concentration under the influence of thermal energy.	1	17	25	of low concentration under the influence of thermal energy	NONE
digestion	59	digestion is the process by which our food is broken down into a form that []	0	10	10	broken	A2
digestion	80	digestion is the process by which ingested (food) material is broken down in the earlier stages of the alimentary canal into a form that can then be absorbed and...	0	13	13	broken	A2
digestion	87	digestion is the process by which food is broken down into its smallest parts, which can then be absorbed into the bloodstream.	0	9	9	broken	A2
digestion	232	digestion is the breakdown of large insoluble food molecules into small water-soluble food molecules so that they can be absorbed into the watery blood plasma...	0	4	4	breakdown	A2
digestion	252	digestion is the process of turning large pieces of food into its component chemicals.	0	6	6	turning	A2
digestion	273	digestion is the process by which food molecules are broken down into smaller molecules that are able to be absorbed by the gut tissue.	0	10	10	broken	A2
digestion	288	digestion is the process of breaking down the food you consume into molecules that can be absorbed into or pass through the body.	0	6	7	breaking down	A2
digestion	304	digestion is the process of converting the foods we eat into substances our bodies can absorb and use at the cellular level.	0	6	6	converting	A2
digestion	360	in a general sense, digestion is the process of pulling apart macromolecules into their constituent parts.	2	11	11	pulling	A2
digestion	360	in a general sense, digestion is the process of pulling apart macromolecules into their constituent parts.	1	12	13	apart macromolecules	A0
digestion	360	in a general sense, digestion is the process of pulling apart macromolecules into their constituent parts.	0	15	17	their constituent parts	A3
digestion	370	digestion is the breaking down of food into forms that our bodies can use.	0	4	4	breaking	A2
digestion	388	digestion is the process by which chunks of food are broken into molecules small ...	1	7	9	chunks of food	A0
digestion	388	digestion is the process by which chunks of food are broken into molecules small ...	2	11	11	broken	A2
digestion	388	digestion is the process by which chunks of food are broken into molecules small ...	0	13	13	molecules	A3
digestion	397	digestion is the process of changing food into a form that the body can absorb and use as energy or as the raw materials to repair and build new tissue.	0	6	6	changing	A2
dripping	249	dripping is the process of adding droplets of e-juice to the bridge of an atomizer instead of passing it through a cartridge.	0	6	6	adding	A2
dripping	310	thus, dripping is the process of pouring e-juice directly into the atomizer.	0	8	8	pouring	A2
dripping	448	dripping is the process of putting the paint on your canvas and letting the paint do what it do.	0	6	6	putting	A2
dripping	448	dripping is the process of putting the paint on your canvas and letting the paint do what it do.	3	10	11	your canvas	NONE
dripping	448	dripping is the process of putting the paint on your canvas and letting the paint do what it do.	2	13	13	letting	NONE
dripping	448	dripping is the process of putting the paint on your canvas and letting the paint do what it do.	1	16	16	do	NONE
dripping	448	dripping is the process of putting the paint on your canvas and letting the paint do what it do.	5	17	19	what it do	NONE
erosion	114	erosion is the process of moving these weathered materials.	0	6	6	moving	A2
erosion	219	erosion is the process of transporting weathered...	0	6	6	transporting	A2
erosion	422	erosion is the process of wearing down an object by various forces.	0	6	7	wearing down	A2
evaporation	16	evaporation is the process of returning moisture to the atmosphere.	0	6	6	returning	A2
evaporation	18	the purpose of evaporation is to remove water from the black...	0	7	11	remove water from the black	A3
evaporation	35	evaporation causes huge water loss from these water bodies estimated at about 40 per cent of the storage capacity of the ponds.	2	1	1	evaporation	NONE
evaporation	35	evaporation causes huge water loss from these water bodies estimated at about 40 per cent of the storage capacity of the ponds.	5	2	2	causes	NONE
evaporation	35	evaporation causes huge water loss from these water bodies estimated at about 40 per cent of the storage capacity of the ponds.	6	10	10	estimated	NONE
evaporation	35	evaporation causes huge water loss from these water bodies estimated at about 40 per cent of the storage capacity of the ponds.	4	12	22	about 40 per cent of the storage capacity of the ponds	NONE
evaporation	58	evaporation is the process by which liquid spontaneously turns into gas.	1	7	7	liquid	A0
evaporation	58	evaporation is the process by which liquid spontaneously turns into gas.	2	9	9	turns	A2
evaporation	58	evaporation is the process by which liquid spontaneously turns into gas.	0	11	11	gas	A3
evaporation	61	evaporation is the process by which water is turned into a gas form and rises.	1	9	9	turned	A2
evaporation	61	evaporation is the process by which water is turned into a gas form and rises.	0	11	15	a gas form and rises	A3
evaporation	63	the purpose of evaporation is to remove as much water as possible without adversely affecting the quality of the powder.	0	7	20	remove as much water as possible without adversely affecting the quality of the powder	A3
evaporation	70	the rate of evaporation depends on factors such as the temperature of the concrete...	0	10	14	the temperature of the concrete	A1
evaporation	73	evaporation helps to regulate body temperature.	0	4	6	regulate body temperature	A3
evaporation	106	evaporation is the process of turning a liquid, at its saturation temperature, into vapor.	1	6	6	turning	A2
evaporation	106	evaporation is the process of turning a liquid, at its saturation temperature, into vapor.	0	7	8	a liquid	A0
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	4	9	9	paired	NONE
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	6	11	11	evaporation	NONE
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	5	12	12	causes	NONE
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	8	13	15	your water level	NONE
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	3	17	17	decrease	NONE
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	2	18	18	over	NONE
evaporation	108	check the water level - splashing around, paired with evaporation causes your water level to decrease over time.	1	19	19	time	NONE
evaporation	109	the evaporation depends on factors such as the solar radiation, the wind, the temperature.	0	8	16	the solar radiation , the wind , the temperature	A1
evaporation	125	evaporation is the process by which a liquid is changed into a vapor.	1	10	10	changed	A2
evaporation	125	evaporation is the process by which a liquid is changed into a vapor.	0	12	13	a vapor	A3
evaporation	130	either the evaporation versus boiling evaporation is the process by which particles inthe liquid phase change into evaporation versus...	0	12	12	particles	A0
evaporation	133	lm evaporation is caused by thermal decomposition of the.	1	1	2	lm evaporation	A2
evaporation	133	lm evaporation is caused by thermal decomposition of the.	2	4	4	caused	NONE
evaporation	133	lm evaporation is caused by thermal decomposition of the.	0	6	9	thermal decomposition of the	A1
evaporation	138	evaporation causes cooling evaporation is the process by which a liquid changes into its vapours at a temperature below the boiling point of...	0	14	15	its vapours	A3
evaporation	143	the evaporation is caused by a transfer of heat from the air to the water.	0	6	15	a transfer of heat from the air to the water	A1
evaporation	145	evaporation is the process by which liquid water changes into water vapor, a gas.	0	12	12	vapor	A3
evaporation	145	evaporation is the process by which liquid water changes into water vapor, a gas.	2	14	15	a gas	A3
evaporation	152	evaporation is the process of losing transferred water from the soil and the process of losing water from the vegetation through the atmosphere.	1	6	6	losing	A2
evaporation	152	evaporation is the process of losing transferred water from the soil and the process of losing water from the vegetation through the atmosphere.	0	7	8	transferred water	A0
evaporation	153	adequate air movement over the lagoon is necessary for evaporation to occur.	0	1	6	adequate air movement over the lagoon	A1
evaporation	168	evaporation is the process of returning damp to the atmosphere.	0	6	6	returning	A2
evaporation	168	evaporation is the process of returning damp to the atmosphere.	3	7	7	damp	NONE
evaporation	168	evaporation is the process of returning damp to the atmosphere.	2	9	10	the atmosphere	NONE
evaporation	178	evaporation is the process of converting water from liquid to gaseous phase.	2	6	6	converting	A2
evaporation	178	evaporation is the process of converting water from liquid to gaseous phase.	1	7	7	water	A0
evaporation	178	evaporation is the process of converting water from liquid to gaseous phase.	0	11	12	gaseous phase	A3
evaporation	181	evaporation is the process by which liquid water is transformed back into...	0	7	8	liquid water	A0
evaporation	181	evaporation is the process by which liquid water is transformed back into...	1	10	10	transformed	A2
evaporation	198	evaporation helps to remove small trapped water bodies.	0	4	8	remove small trapped water bodies	A3
evaporation	214	evaporation helps to reduce soil temperature and soil moisture content.	0	4	10	reduce soil temperature and soil moisture content	A3
evaporation	237	evaporation is the process of changing liquid water into water vapor (a gas).	1	6	6	changing	A2
evaporation	237	evaporation is the process of changing liquid water into water vapor (a gas).	0	7	8	liquid water	A0
evaporation	259	it does its job by using basic forces of nature, a minimum of added energy, and the principles that evaporation causes cooling and that water wants to absorb...	0	24	30	cooling and that water wants to absorb	A3
evaporation	267	evaporation is the process by which liquid water turns into water vapour through...	1	7	8	liquid water	A0
evaporation	267	evaporation is the process by which liquid water turns into water vapour through...	2	9	9	turns	A2
evaporation	267	evaporation is the process by which liquid water turns into water vapour through...	0	11	12	water vapour	A3
evaporation	282	evaporation is the primary pathway that water moves from...	0	4	4	primary	A2
evaporation	302	evaporation is the process of converting water into water vapor through...	2	6	6	converting	A2
evaporation	302	evaporation is the process of converting water into water vapor through...	1	7	7	water	A0
evaporation	302	evaporation is the process of converting water into water vapor through...	0	9	10	water vapor	A3
evaporation	331	evaporation occurs when liquid water is converted into water vapour.	2	1	1	evaporation	A2
evaporation	331	evaporation occurs when liquid water is converted into water vapour.	5	2	2	occurs	NONE
evaporation	331	evaporation occurs when liquid water is converted into water vapour.	1	4	5	liquid water	A0
evaporation	331	evaporation occurs when liquid water is converted into water vapour.	3	7	7	converted	A2
evaporation	331	evaporation occurs when liquid water is converted into water vapour.	0	9	10	water vapour	A3
evaporation	336	evaporation is the process of changing water from liquid to gas.	1	6	6	changing	A2
evaporation	336	evaporation is the process of changing water from liquid to gas.	0	7	7	water	A0
evaporation	339	evaporation is caused by water turning into a vapor and escaping from your pond.	3	1	1	evaporation	NONE
evaporation	339	evaporation is caused by water turning into a vapor and escaping from your pond.	6	3	3	caused	NONE
evaporation	339	evaporation is caused by water turning into a vapor and escaping from your pond.	2	6	6	turning	A2
evaporation	339	evaporation is caused by water turning into a vapor and escaping from your pond.	0	7	9	into a vapor	A3
evaporation	339	evaporation is caused by water turning into a vapor and escaping from your pond.	5	11	11	escaping	NONE
evaporation	339	evaporation is caused by water turning into a vapor and escaping from your pond.	1	13	14	your pond	A0
evaporation	344	evaporation causes the water to cool rapidly to its freezing point and it solidifies suddenly.	0	3	16	the water to cool rapidly to its freezing point and it solidifies suddenly .	A3
evaporation	354	evaporation is the process by which liquid water is transformed into water vapor, a gas in the atmosphere.	1	10	10	transformed	A2
evaporation	354	evaporation is the process by which liquid water is transformed into water vapor, a gas in the atmosphere.	0	12	19	water vapor , a gas in the atmosphere	A3
evaporation	361	evaporation is the process of removing water from whey.	0	7	7	water	A0
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	5	1	3	the roof garden	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	6	4	4	retains	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	8	5	6	heat energy	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	1	7	9	from the sun	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	4	13	13	helps	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	3	15	15	cool	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	2	19	19	resulting	NONE
evaporation	387	the roof garden retains heat energy from the sun and through evaporation helps to cool the air, resulting in a cost saving on air conditioning and heating.	10	21	28	a cost saving on air conditioning and heating	NONE
evaporation	391	the purpose of evaporation is to remove water...	0	7	8	remove water	A3
evaporation	396	evaporation is caused by the impingement of a second sound thermal pulse onto a he iivapor interface.	2	1	1	evaporation	NONE
evaporation	396	evaporation is caused by the impingement of a second sound thermal pulse onto a he iivapor interface.	3	3	3	caused	NONE
evaporation	396	evaporation is caused by the impingement of a second sound thermal pulse onto a he iivapor interface.	0	5	12	the impingement of a second sound thermal pulse	A1
evaporation	439	evaporation occurs when a liquid is changed into a gas.	2	1	1	evaporation	A2
evaporation	439	evaporation occurs when a liquid is changed into a gas.	5	2	2	occurs	NONE
evaporation	439	evaporation occurs when a liquid is changed into a gas.	1	4	5	a liquid	A0
evaporation	439	evaporation occurs when a liquid is changed into a gas.	3	7	7	changed	A2
evaporation	439	evaporation occurs when a liquid is changed into a gas.	0	9	10	a gas	A3
evaporation	461	evaporation is the process of vaporizing the water from a solution to produce concentrated product.	1	6	6	vaporizing	A2
evaporation	461	evaporation is the process of vaporizing the water from a solution to produce concentrated product.	0	7	8	the water	A0
evaporation	472	evaporation occurs when heat from the sun causes water on earth's surface to turn into water vapor.	6	1	1	evaporation	A2
evaporation	472	evaporation occurs when heat from the sun causes water on earth's surface to turn into water vapor.	7	2	2	occurs	NONE
evaporation	472	evaporation occurs when heat from the sun causes water on earth's surface to turn into water vapor.	0	4	7	heat from the sun	A1
evaporation	472	evaporation occurs when heat from the sun causes water on earth's surface to turn into water vapor.	4	8	8	causes	A2
evaporation	472	evaporation occurs when heat from the sun causes water on earth's surface to turn into water vapor.	3	9	9	water	A0
evaporation	472	evaporation occurs when heat from the sun causes water on earth's surface to turn into water vapor.	9	10	13	on earth 's surface	NONE
